OBJNAME,RA,DEC,Z,constellation
UGC 04449,127.8575,40.956250000000004,2.442e-02,Lynx
MRK 0091,128.11724999999998,52.60622222222222,1.694e-02,Lynx
CGCG 208-013,128.08516666666665,41.358916666666666,2.504e-02,Lynx
KUG 0829+293,128.17062499999997,29.21361111111111,2.550e-02,Cancer
CGCG 287-079,128.43975,56.81930555555556,2.616e-02,Lynx
UGC 04464,128.25083333333333,26.014027777777777,1.756e-02,Cancer
UGC 04465,128.324125,41.25955555555556,2.294e-02,Lynx
CGCG 089-046,128.32291666666666,19.346638888888886,1.935e-02,Cancer
CGCG 237-006,128.48020833333334,47.13444444444444,1.493e-02,Ursa Major
CGCG 263-051,128.51674999999997,52.00208333333333,9.760e-03,Lynx
CGCG 208-020,128.48829166666667,41.40569444444444,2.457e-02,Lynx
CGCG 208-022,128.693625,41.21325,2.526e-02,Lynx
CGCG 208-023,128.72962499999997,41.402027777777775,2.543e-02,Lynx
UGC 04479,128.786,39.668527777777776,2.947e-02,Lynx
IC 2385,128.79316666666665,37.265972222222224,2.283e-02,Lynx
CGCG 208-025,128.89966666666666,39.81355555555555,2.495e-02,Lynx
CGCG 119-126,128.85308333333333,23.52513888888889,1.705e-02,Cancer
UGC 04513,129.75283333333334,40.346111111111114,2.472e-02,Lynx
CGCG 120-018,129.96149999999997,23.143361111111112,2.520e-02,Cancer
UGC 04530,130.49395833333332,57.59191666666667,2.625e-02,Ursa Major
UGC 04531,130.47108333333333,32.868138888888886,2.570e-02,Cancer
CGCG 208-038,130.66604166666664,40.81880555555556,2.966e-02,Lynx
UGC 04553,130.85883333333334,3.6145555555555555,2.714e-02,Hydra
CGCG 263-081,131.16725,53.95113888888889,2.393e-02,Ursa Major
UGC 04558,131.03712499999997,33.51572222222222,2.564e-02,Lynx
CGCG 033-001,130.96283333333332,2.7138611111111115,2.586e-02,Hydra
UGC 04562,131.22991666666664,47.745805555555556,2.888e-02,Ursa Major
KUG 0841+407,131.27383333333333,40.5595,2.908e-02,Lynx
CGCG 061-002,131.12512499999997,11.182666666666666,2.967e-02,Cancer
CGCG 061-003,131.13479166666664,9.165916666666668,1.364e-02,Cancer
CGCG 005-004,131.11854166666663,2.063972222222222,2.538e-02,Hydra
UGC 04567,131.1777083333333,9.800861111111113,1.363e-02,Cancer
UGC 04568,131.18104166666663,10.472027777777777,1.364e-02,Cancer
NGC 2657,131.31587499999998,9.6455,1.381e-02,Cancer
CGCG 120-029,131.38429166666666,23.606222222222225,2.884e-02,Cancer
MCG +04-21-019,131.4264583333333,23.696083333333334,1.086e-02,Cancer
UGC 04580,131.63870833333334,48.43011111111111,2.339e-02,Ursa Major
KUG 0843+300,131.667625,29.866583333333335,1.977e-02,Cancer
UGC 04590,131.66654166666666,13.213694444444444,6.605e-03,Cancer
IC 0521,131.68316666666666,2.5374166666666667,2.808e-02,Hydra
CGCG 061-011,131.69704166666665,13.706805555555555,7.143e-03,Cancer
UGC 04594,131.68845833333333,6.9599722222222224,2.913e-02,Cancer
CGCG 150-030,131.77908333333332,27.87361111111111,2.069e-02,Cancer
IC 2394,131.77879166666665,28.236555555555558,2.115e-02,Cancer
KUG 0845+369,132.05204166666667,36.78075,2.527e-02,Lynx
CGCG 120-038,132.10408333333334,23.83722222222222,2.803e-02,Cancer
IC 2405,132.17816666666667,37.21863888888889,2.534e-02,Lynx
KUG 0845+510,132.31929166666663,50.91258333333333,2.814e-02,Ursa Major
CGCG 061-013,132.14291666666668,12.820416666666667,2.989e-02,Cancer
UGC 04613,132.16758333333334,1.0387777777777778,2.876e-02,Hydra
UGC 04615,132.35616666666664,41.77125,2.887e-02,Lynx
NGC 2668,132.344,36.71033333333334,2.506e-02,Lynx
